수집일자,매장명,타겟키워드,현재순위,등락폭,1위_매장명,1위_사용_키워드,AI_인사이트
2026-03-30,달빛에구운고등어 천안신방점,점심식사,999,-,,,
2026-03-30,달빛에구운고등어 천안신방점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 목포하당점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 목포하당점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 목포하당점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 아산온천점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 아산온천점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 아산온천점,아산모임,999,-,,,
2026-03-30,달빛에구운고등어 부천약대오거리점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부천약대오거리점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 부천약대오거리점,가족식사,999,-,,,
2026-03-30,달빛에구운고등어 서산점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 서산점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 서산점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 청주지웰점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 청주지웰점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 청주지웰점,갈치구이,999,-,,,
2026-03-30,달빛에구운고등어 인천송도점,송현아식당,999,-,,,
2026-03-30,달빛에구운고등어 인천송도점,송도단체모임식당,999,-,,,
2026-03-30,달빛에구운고등어 인천송도점,한식,999,-,,,
2026-03-30,달빛에구운고등어 진주혁신점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 진주혁신점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 진주혁신점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 수원망포점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 수원망포점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 수원망포점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 세종장군점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 세종장군점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 세종장군점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 양산물금점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 양산물금점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 양산물금점,무한리필,999,-,,,
2026-03-30,달빛에구운고등어 대구칠곡점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 대구칠곡점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 대구칠곡점,한정식,999,-,,,
2026-03-30,달빛에구운고등어 남양주별내점,달빛고,999,-,,,
